gene,gene_number,cpath,cost,x,y,z,cc,cc_size
Mbd3,84,"[4284, 11881, 14665, 18747]",0.17705240345994358,172.25104384624123,1915.9146234710465,0.0,923,1
Mbd3,84,"[4302, 11883, 14683, 18751]",1.9086883213550916,175.87204147788492,1901.619572618302,0.0,924,1
Gpi1,52,"[4305, 12685, 15669, 20940]",0.7904507489802756,177.26242128242896,1858.58405069171,0.0,925,1
Polr2e,148,"[4336, 9037, 14280, 17866]",1.5393498749436256,189.93635535226457,1804.6100899745668,0.0,926,1
Gpi1,52,"[4337, 12699, 15684, 20969]",1.0121874108800117,189.59927417556656,1836.6530127750489,0.0,927,1
Gpi1,52,"[4346, 12706, 15697, 20986]",1.316769725350593,193.6667323555571,1895.02052769195,0.0,928,1
Laptm4a,76,"[4355, 8078, 13563, 22443]",0.8279398657335973,196.00412817017548,1923.132912966164,0.0,929,1
Gpi1,52,"[4357, 12708, 15704, 20999]",2.849231749742109,197.29777814181347,1928.9990207832627,0.0,930,1
Gpi1,52,"[4358, 12712, 15705, 20998]",2.566836923778472,197.50571260225675,1908.8591840787676,0.0,931,1
negative_control,1948,"[4359, 8081, 9053, 12530]",3.3938918139623198,196.51377451192377,1906.3468068413365,0.0,932,1
Mbd3,84,"[4368, 11904, 14794, 18782]",2.134670514394856,201.26298261456412,1854.5260472143302,0.0,933,1
negative_control,1223,"[4371, 10470, 16650, 21013]",1.7658108620455437,201.8053683657481,1817.6364501205649,0.0,934,1
Gpi1,52,"[4377, 12720, 15714, 21022]",2.626106646579697,204.92423805225735,1797.6078271434076,0.0,935,1
negative_control,755,"[4394, 17894, 18144, 22675]",2.876420483309322,210.02886240917232,1818.2160630458243,0.0,936,1
Polr2e,148,"[4407, 9087, 14337, 17898]",0.8868949815556946,214.83800368651575,1925.2542143356382,0.0,937,1
Rcn3,184,"[4414, 8605, 12319, 19228]",2.0474882244564188,216.89163436831308,1867.1216179144517,0.0,938,1
Laptm4a,76,"[4423, 8118, 13590, 22488]",3.234089938974773,221.08545311348726,1905.73744500486,0.0,939,1
Mbd3,84,"[4477, 11930, 14953, 18823]",1.4587585043804956,245.67419891704387,1874.8004355941123,0.0,940,1
Gpi1,52,"[4479, 12762, 15770, 21123]",2.1198445538261397,246.8887031230202,1882.5884866065646,0.0,941,1
Lrrc59,79,"[8152, 16736, 18595, 24056]",0.7453262307955653,118.86263422831931,1914.9417942114824,0.0,942,2
Vat1,259,"[4532, 8168, 19396, 22547]",2.0026493485485464,126.593024468889,1827.3096773022985,0.0,943,1
Vat1,259,"[4601, 8210, 19436, 22581]",1.0721724778259452,149.7716734504923,1806.974380541669,0.0,944,1
Top2a,236,"[4631, 9360, 17831, 23864]",3.5464957553823506,161.4884156507528,1840.1081638798196,0.0,945,1
Lmna,77,"[5436, 16817, 18907, 23473]",0.5939182133474982,162.8025849761547,1905.1576127799822,0.0,946,4
Vat1,259,"[4643, 8236, 19463, 22599]",2.6807125620501315,164.1782412354849,1875.412366424504,0.0,947,1
Vat1,259,"[4683, 8266, 19497, 22630]",0.2987098615472552,180.65198171072183,1812.66156896666,0.0,948,1
Cited2,13,"[4694, 7465, 16287, 20960]",3.5073464879986473,186.04696999837432,1819.4570413691629,0.0,949,1
Vat1,259,"[4695, 8275, 19506, 22634]",0.534779620651083,186.22690725274435,1865.4687276941675,0.0,950,1
Ybx1,263,"[13789, 16876, 22119, 24144]",2.4710867035643838,191.87787225470709,1915.5532102847021,0.0,951,2
Timp2,229,"[7081, 13803, 19190, 22133]",0.20114119243123973,196.1664672329273,1910.5661529212248,0.0,952,2
Vat1,259,"[4726, 8291, 19521, 22654]",2.730674268943561,196.19790402938315,1791.7551606484537,0.0,953,1
negative_control,1226,"[4738, 8297, 14059, 17323]",1.0349958148814893,200.92339863355397,1916.2740553038586,0.0,954,2
negative_control,2014,"[12065, 16020, 20667, 23307]",1.7720928969278371,202.92844514668408,1825.2548212066604,0.0,955,4
Tcp1,227,"[4748, 8781, 13821, 21335]",2.9998048165907134,203.40383186412748,1803.885355738865,0.0,956,1
Arf1,6,"[6716, 13372, 18971, 21350]",2.009603512272191,208.22830103528523,1830.556308823694,0.0,957,3
Trim28,241,"[10085, 11817, 19344, 23980]",1.7552264334781862,213.13209479982825,1902.2223479133515,0.0,958,2
Ywhaq,267,"[11513, 13584, 19860, 24176]",3.4603203798539375,216.27536217361944,1833.3127778070184,0.0,959,2
Vat1,259,"[4798, 8335, 19562, 22696]",0.5305258054977287,222.83176097752408,1871.7086084287594,0.0,960,1
Rcc2,183,"[4806, 9254, 12339, 20458]",3.281097931101261,227.24609017318465,1906.776606707606,0.0,961,1
Arf1,6,"[6766, 13397, 19001, 21397]",2.6942587091942136,230.5919964024111,1907.4728947655758,0.0,962,2
Csnk2b,23,"[11139, 16724, 18576, 19869]",2.306714661036839,231.57205614280093,1885.949341909489,0.0,963,3
Rcc2,183,"[4826, 9259, 12349, 20466]",1.5976058293884745,235.54537613394464,1876.5199419341898,0.0,964,1
Rcc2,183,"[4836, 9263, 12358, 20471]",2.1756481620096197,239.7979412649949,1877.1032238075268,0.0,965,1
Ptgs2,170,"[4854, 16978, 20482, 23428]",0.3538616625187086,108.95124670178333,1866.2242031507726,0.0,966,1
